;tree;pseudolatex
10;SUM,NEG,MUL,VF,x,E,E;- VF.x
11;SUM,NEG,MUL,VN,POW,x,10,E,NEG,MUL,VN,POW,x,3,E,MUL,VF,POW,x,5,E,MUL,VN,POW,x,7,E,MUL,VN,POW,x,2,E,NEG,VN,E;- VN.x^{10} - VN.x^{3} + VF.x^{5} + VN.x^{7} + VN.x^{2} - VN
12;SUM,MUL,VF,POW,x,15,E,MUL,VN,POW,x,10,E,NEG,MUL,VF,POW,x,12,E,E;VF.x^{15} + VN.x^{10} - VF.x^{12}
13;SUM,MUL,VF,POW,x,4,E,MUL,VF,POW,x,2,E,NEG,MUL,VN,POW,x,6,E,VF,MUL,VN,POW,x,5,E,NEG,MUL,VN,POW,x,9,E,MUL,VN,POW,x,10,E,MUL,VF,POW,x,12,E,NEG,MUL,VN,x,E,NEG,MUL,VF,POW,x,11,E,E;VF.x^{4} + VF.x^{2} - VN.x^{6} + VF + VN.x^{5} - VN.x^{9} + VN.x^{10} + VF.x^{12} - VN.x - VF.x^{11}
14;SUM,MUL,VN,POW,x,14,E,VF,MUL,VF,POW,x,7,E,E;VN.x^{14} + VF + VF.x^{7}
15;SUM,MUL,VF,POW,x,13,E,MUL,VF,POW,x,10,E,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,12,E,MUL,VN,POW,x,2,E,NEG,MUL,VF,POW,x,11,E,E;VF.x^{13} + VF.x^{10} + VN.x^{9} - VN.x^{12} + VN.x^{2} - VF.x^{11}
16;SUM,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,3,E,E;VN.x^{7} - VN.x^{3}
17;SUM,MUL,VN,POW,x,8,E,MUL,VN,POW,x,13,E,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,12,E,NEG,MUL,VF,POW,x,7,E,NEG,VN,MUL,VN,x,E,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,10,E,E;VN.x^{8} + VN.x^{13} - VN.x^{9} - VN.x^{12} - VF.x^{7} - VN + VN.x + VF.x^{5} - VN.x^{10}
18;SUM,NEG,VF,MUL,VF,POW,x,6,E,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,12,E,MUL,VN,POW,x,7,E,MUL,VF,POW,x,9,E,E;- VF + VF.x^{6} - VN.x^{8} - VN.x^{12} + VN.x^{7} + VF.x^{9}
19;SUM,NEG,MUL,VN,x,E,E;- VN.x
20;SUM,NEG,MUL,VN,POW,x,9,E,NEG,VF,E;- VN.x^{9} - VF
21;SUM,MUL,VF,POW,x,15,E,NEG,MUL,VN,POW,x,14,E,MUL,VN,POW,x,9,E,NEG,MUL,VF,POW,x,7,E,MUL,VN,POW,x,6,E,MUL,VN,POW,x,5,E,MUL,VF,x,E,NEG,MUL,VF,POW,x,13,E,NEG,MUL,VF,POW,x,12,E,MUL,VF,POW,x,8,E,NEG,MUL,VN,POW,x,10,E,E;VF.x^{15} - VN.x^{14} + VN.x^{9} - VF.x^{7} + VN.x^{6} + VN.x^{5} + VF.x - VF.x^{13} - VF.x^{12} + VF.x^{8} - VN.x^{10}
22;SUM,NEG,VN,MUL,VN,POW,x,7,E,E;- VN + VN.x^{7}
23;SUM,MUL,VN,POW,x,3,E,NEG,MUL,VN,x,E,E;VN.x^{3} - VN.x
24;SUM,NEG,MUL,VF,POW,x,2,E,E;- VF.x^{2}
25;SUM,MUL,VF,POW,x,7,E,E;VF.x^{7}
26;SUM,MUL,VF,POW,x,5,E,MUL,VF,POW,x,3,E,MUL,VN,POW,x,2,E,NEG,MUL,VN,POW,x,4,E,MUL,VF,x,E,E;VF.x^{5} + VF.x^{3} + VN.x^{2} - VN.x^{4} + VF.x
27;SUM,NEG,MUL,VN,POW,x,11,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,9,E,MUL,VN,x,E,VF,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,12,E,E;- VN.x^{11} - VF.x^{8} - VN.x^{6} - VN.x^{7} - VN.x^{9} + VN.x + VF - VF.x^{4} - VN.x^{12}
28;SUM,VF,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,14,E,MUL,VF,POW,x,6,E,E;VF + VN.x^{5} - VF.x^{14} + VF.x^{6}
29;SUM,VF,NEG,MUL,VN,POW,x,3,E,E;VF - VN.x^{3}
30;SUM,MUL,VN,POW,x,5,E,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,6,E,E;VN.x^{5} + VF.x^{4} - VN.x^{6}
31;SUM,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,2,E,MUL,VN,POW,x,9,E,NEG,VF,E;VN.x^{7} - VN.x^{6} - VN.x^{5} - VF.x^{2} + VN.x^{9} - VF
32;SUM,NEG,VN,NEG,MUL,VF,POW,x,8,E,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,5,E,MUL,VF,POW,x,2,E,NEG,MUL,VN,POW,x,10,E,NEG,MUL,VN,POW,x,7,E,E;- VN - VF.x^{8} + VF.x^{4} - VF.x^{3} - VF.x - VF.x^{5} + VF.x^{2} - VN.x^{10} - VN.x^{7}
33;SUM,MUL,VN,POW,x,2,E,NEG,VN,MUL,VF,POW,x,9,E,MUL,VF,POW,x,10,E,MUL,VN,POW,x,6,E,E;VN.x^{2} - VN + VF.x^{9} + VF.x^{10} + VN.x^{6}
34;SUM,NEG,MUL,VF,POW,x,9,E,MUL,VN,POW,x,2,E,MUL,VF,x,E,MUL,VF,POW,x,12,E,NEG,VN,NEG,MUL,VN,POW,x,7,E,MUL,VN,POW,x,11,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VN,POW,x,4,E,E;- VF.x^{9} + VN.x^{2} + VF.x + VF.x^{12} - VN - VN.x^{7} + VN.x^{11} - VF.x^{3} - VN.x^{4}
35;SUM,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,5,E,MUL,VF,x,E,MUL,VN,POW,x,13,E,MUL,VF,POW,x,9,E,E;VF.x^{8} - VF.x^{5} + VF.x + VN.x^{13} + VF.x^{9}
36;SUM,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,MUL,VN,POW,x,5,E,MUL,VN,x,E,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,10,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,12,E,MUL,VN,POW,x,11,E,NEG,VF,E;- VN.x^{4} - VN.x^{3} + VN.x^{5} + VN.x - VN.x^{8} - VF.x^{2} - VF.x^{10} - VF.x^{7} - VN.x^{12} + VN.x^{11} - VF
37;SUM,NEG,MUL,VN,POW,x,2,E,VN,E;- VN.x^{2} + VN
38;SUM,NEG,MUL,VN,POW,x,2,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,x,E,E;- VN.x^{2} - VN.x^{3} - VF.x
39;SUM,MUL,VF,POW,x,3,E,E;VF.x^{3}
40;SUM,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{5}
41;SUM,NEG,MUL,VF,POW,x,3,E,E;- VF.x^{3}
42;SUM,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VF,POW,x,11,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,10,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VN,POW,x,13,E,NEG,MUL,VF,POW,x,14,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,12,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,5,E,NEG,VF,NEG,MUL,VF,POW,x,6,E,E;- VN.x^{8} - VF.x^{11} - VF.x^{7} - VF.x^{10} - VF.x^{2} - VN.x^{13} - VF.x^{14} - VN.x^{3} - VF.x^{12} - VF.x^{4} - VN.x^{9} - VN.x^{5} - VF - VF.x^{6}
43;SUM,NEG,VF,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,2,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VF,POW,x,8,E,E;- VF - VN.x^{7} - VN.x^{2} - VF.x^{4} - VN.x^{6} - VF.x^{8}
44;SUM,NEG,MUL,VF,x,E,E;- VF.x
45;SUM,NEG,MUL,VN,x,E,NEG,MUL,VN,POW,x,2,E,E;- VN.x - VN.x^{2}
46;SUM,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,5,E,E;- VF.x^{7} - VN.x^{5}
47;SUM,NEG,MUL,VF,POW,x,4,E,E;- VF.x^{4}
48;SUM,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{5}
49;SUM,NEG,MUL,VF,POW,x,10,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,11,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,6,E,NEG,VN,NEG,MUL,VF,POW,x,9,E,E;- VF.x^{10} - VF.x^{8} - VF.x^{11} - VN.x^{7} - VN.x^{3} - VF.x^{5} - VF.x^{2} - VF.x^{6} - VN - VF.x^{9}
50;SUM,NEG,MUL,VN,POW,x,14,E,NEG,MUL,VN,x,E,NEG,MUL,VF,POW,x,4,E,NEG,VF,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,13,E,NEG,MUL,VN,POW,x,11,E,NEG,MUL,VN,POW,x,10,E,NEG,MUL,VN,POW,x,12,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{14} - VN.x - VF.x^{4} - VF - VF.x^{7} - VN.x^{3} - VN.x^{8} - VN.x^{13} - VN.x^{11} - VN.x^{10} - VN.x^{12} - VN.x^{6} - VN.x^{9} - VN.x^{5}
51;SUM,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,7,E,NEG,VN,NEG,MUL,VF,x,E,E;- VF.x^{5} - VF.x^{7} - VN - VF.x
52;SUM,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VN,POW,x,9,E,E;- VN.x^{8} - VN.x^{3} - VF.x^{6} - VN.x^{4} - VN.x^{9}
53;SUM,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VN,POW,x,2,E,NEG,MUL,VF,POW,x,10,E,NEG,VN,NEG,MUL,VN,POW,x,12,E,E;- VN.x^{9} - VF.x^{6} - VN.x^{3} - VN.x^{2} - VF.x^{10} - VN - VN.x^{12}
54;SUM,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VN,POW,x,4,E,NEG,VF,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VF,POW,x,2,E,E;- VN.x^{8} - VN.x^{7} - VF.x^{5} - VN.x^{3} - VF.x^{6} - VN.x^{4} - VF - VN.x^{9} - VF.x^{2}
55;SUM,NEG,MUL,VN,x,E,NEG,MUL,VN,POW,x,2,E,E;- VN.x - VN.x^{2}
56;SUM,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,11,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VN,POW,x,15,E,E;- VF.x^{5} - VN.x^{8} - VN.x^{6} - VN.x^{11} - VF.x^{3} - VN.x^{15}
57;SUM,NEG,MUL,VN,POW,x,10,E,E;- VN.x^{10}
58;SUM,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VN,POW,x,5,E,NEG,VN,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,x,E,E;- VN.x^{3} - VN.x^{5} - VN - VF.x^{4} - VF.x
59;SUM,NEG,MUL,VN,POW,x,8,E,E;- VN.x^{8}
60;SUM,MUL,VN,POW,x,13,E,MUL,VN,POW,x,7,E,MUL,VN,POW,x,5,E,MUL,VF,POW,x,11,E,E;VN.x^{13} + VN.x^{7} + VN.x^{5} + VF.x^{11}
61;SUM,MUL,VN,POW,x,13,E,MUL,VF,POW,x,12,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,15,E,MUL,VN,POW,x,10,E,E;VN.x^{13} + VF.x^{12} + VF.x^{2} + VF.x^{15} + VN.x^{10}
62;SUM,MUL,VF,POW,x,13,E,MUL,VN,POW,x,15,E,MUL,VF,POW,x,7,E,MUL,VN,POW,x,8,E,MUL,VF,POW,x,12,E,MUL,VF,POW,x,4,E,MUL,VN,POW,x,11,E,MUL,VF,x,E,MUL,VF,POW,x,6,E,MUL,VN,POW,x,14,E,MUL,VF,POW,x,10,E,E;VF.x^{13} + VN.x^{15} + VF.x^{7} + VN.x^{8} + VF.x^{12} + VF.x^{4} + VN.x^{11} + VF.x + VF.x^{6} + VN.x^{14} + VF.x^{10}
63;SUM,MUL,VN,POW,x,14,E,MUL,VF,POW,x,7,E,MUL,VF,POW,x,9,E,MUL,VN,POW,x,11,E,VN,MUL,VF,POW,x,10,E,E;VN.x^{14} + VF.x^{7} + VF.x^{9} + VN.x^{11} + VN + VF.x^{10}
64;SUM,MUL,VN,POW,x,11,E,E;VN.x^{11}
65;SUM,MUL,VN,POW,x,13,E,MUL,VF,POW,x,10,E,E;VN.x^{13} + VF.x^{10}
66;SUM,MUL,VF,POW,x,2,E,VN,E;VF.x^{2} + VN
67;SUM,MUL,VF,POW,x,7,E,MUL,VN,POW,x,9,E,VF,MUL,VN,POW,x,4,E,MUL,VF,POW,x,8,E,MUL,VN,POW,x,3,E,MUL,VF,x,E,E;VF.x^{7} + VN.x^{9} + VF + VN.x^{4} + VF.x^{8} + VN.x^{3} + VF.x
68;SUM,MUL,VN,POW,x,9,E,MUL,VN,x,E,MUL,VF,POW,x,8,E,MUL,VF,POW,x,7,E,MUL,VN,POW,x,6,E,E;VN.x^{9} + VN.x + VF.x^{8} + VF.x^{7} + VN.x^{6}
69;SUM,MUL,VF,POW,x,5,E,MUL,VN,x,E,MUL,VN,POW,x,12,E,MUL,VN,POW,x,2,E,E;VF.x^{5} + VN.x + VN.x^{12} + VN.x^{2}
70;SUM,MUL,VN,x,E,E;VN.x
71;SUM,MUL,VF,POW,x,3,E,VF,E;VF.x^{3} + VF
72;SUM,MUL,VF,x,E,E;VF.x
73;SUM,MUL,VN,POW,x,2,E,MUL,VN,POW,x,4,E,MUL,VF,POW,x,3,E,VN,E;VN.x^{2} + VN.x^{4} + VF.x^{3} + VN
74;SUM,MUL,VF,POW,x,10,E,MUL,VN,POW,x,8,E,MUL,VF,POW,x,2,E,E;VF.x^{10} + VN.x^{8} + VF.x^{2}
75;SUM,MUL,VF,POW,x,5,E,VF,MUL,VF,POW,x,2,E,MUL,VN,POW,x,6,E,MUL,VN,x,E,MUL,VN,POW,x,4,E,MUL,VN,POW,x,7,E,E;VF.x^{5} + VF + VF.x^{2} + VN.x^{6} + VN.x + VN.x^{4} + VN.x^{7}
76;SUM,MUL,VF,POW,x,8,E,MUL,VN,POW,x,6,E,MUL,VN,POW,x,7,E,MUL,VN,POW,x,3,E,MUL,VF,POW,x,5,E,VF,E;VF.x^{8} + VN.x^{6} + VN.x^{7} + VN.x^{3} + VF.x^{5} + VF
77;SUM,MUL,VN,POW,x,2,E,VN,E;VN.x^{2} + VN
78;SUM,MUL,VN,POW,x,3,E,MUL,VF,POW,x,5,E,VN,MUL,VF,POW,x,6,E,MUL,VF,POW,x,2,E,E;VN.x^{3} + VF.x^{5} + VN + VF.x^{6} + VF.x^{2}
79;SUM,MUL,VN,POW,x,2,E,MUL,VF,POW,x,3,E,VN,MUL,VF,POW,x,5,E,MUL,VF,POW,x,6,E,MUL,VN,POW,x,4,E,E;VN.x^{2} + VF.x^{3} + VN + VF.x^{5} + VF.x^{6} + VN.x^{4}
80;SUM,MUL,VF,POW,x,14,E,MUL,VN,POW,x,13,E,MUL,VN,POW,x,12,E,MUL,VF,POW,x,11,E,MUL,VN,POW,x,10,E,MUL,VF,POW,x,9,E,MUL,VF,POW,x,8,E,MUL,VF,POW,x,7,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,3,E,MUL,VN,POW,x,2,E,MUL,VF,x,E,VF,E;VF.x^{14} + VN.x^{13} + VN.x^{12} + VF.x^{11} + VN.x^{10} + VF.x^{9} + VF.x^{8} + VF.x^{7} + VF.x^{5} + VF.x^{3} + VN.x^{2} + VF.x + VF
81;SUM,MUL,VN,POW,x,4,E,MUL,VN,POW,x,2,E,MUL,VN,x,E,VN,E;VN.x^{4} + VN.x^{2} + VN.x + VN
82;SUM,MUL,VF,POW,x,14,E,MUL,VN,POW,x,12,E,MUL,VN,POW,x,5,E,MUL,VN,POW,x,4,E,MUL,VN,x,E,VN,E;VF.x^{14} + VN.x^{12} + VN.x^{5} + VN.x^{4} + VN.x + VN
83;SUM,MUL,VF,POW,x,4,E,MUL,VN,POW,x,2,E,E;VF.x^{4} + VN.x^{2}
84;SUM,MUL,VF,POW,x,12,E,MUL,VN,POW,x,11,E,MUL,VN,POW,x,10,E,MUL,VN,POW,x,9,E,MUL,VF,POW,x,8,E,MUL,VF,POW,x,7,E,MUL,VN,POW,x,5,E,MUL,VN,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E;VF.x^{12} + VN.x^{11} + VN.x^{10} + VN.x^{9} + VF.x^{8} + VF.x^{7} + VN.x^{5} + VN.x^{3} + VF.x^{2} + VF.x + VF
85;SUM,MUL,VF,POW,x,8,E,MUL,VF,POW,x,7,E,MUL,VN,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VN,x,E,VF,E;VF.x^{8} + VF.x^{7} + VN.x^{6} + VF.x^{5} + VF.x^{3} + VF.x^{2} + VN.x + VF
86;SUM,MUL,VF,POW,x,14,E,MUL,VF,POW,x,12,E,MUL,VN,POW,x,11,E,MUL,VN,POW,x,10,E,MUL,VN,POW,x,9,E,MUL,VF,POW,x,8,E,MUL,VN,POW,x,7,E,MUL,VF,POW,x,6,E,MUL,VF,POW,x,2,E,VN,E;VF.x^{14} + VF.x^{12} + VN.x^{11} + VN.x^{10} + VN.x^{9} + VF.x^{8} + VN.x^{7} + VF.x^{6} + VF.x^{2} + VN
87;SUM,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,E;VF.x^{4} + VF.x^{3}
88;SUM,MUL,VF,POW,x,12,E,MUL,VN,POW,x,11,E,MUL,VF,POW,x,10,E,MUL,VF,POW,x,9,E,MUL,VF,POW,x,8,E,MUL,VF,POW,x,7,E,MUL,VN,POW,x,4,E,MUL,VN,POW,x,3,E,MUL,VF,POW,x,2,E,E;VF.x^{12} + VN.x^{11} + VF.x^{10} + VF.x^{9} + VF.x^{8} + VF.x^{7} + VN.x^{4} + VN.x^{3} + VF.x^{2}
89;SUM,MUL,VN,POW,x,7,E,MUL,VN,x,E,VF,E;VN.x^{7} + VN.x + VF
90;SUM,MUL,VN,x,E,E;VN.x
91;SUM,MUL,VF,POW,x,8,E,MUL,VN,POW,x,7,E,MUL,VN,POW,x,6,E,MUL,VF,POW,x,2,E,VN,E;VF.x^{8} + VN.x^{7} + VN.x^{6} + VF.x^{2} + VN
92;SUM,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VN,x,E,VN,E;VF.x^{4} + VF.x^{3} + VN.x + VN
93;SUM,MUL,VN,POW,x,10,E,E;VN.x^{10}
94;SUM,MUL,VN,POW,x,8,E,MUL,VF,POW,x,4,E,MUL,VF,x,E,E;VN.x^{8} + VF.x^{4} + VF.x
95;SUM,MUL,VF,POW,x,4,E,MUL,VF,x,E,E;VF.x^{4} + VF.x
96;SUM,MUL,VN,POW,x,3,E,MUL,VF,x,E,E;VN.x^{3} + VF.x
97;SUM,MUL,VN,POW,x,3,E,MUL,VF,x,E,E;VN.x^{3} + VF.x
98;SUM,MUL,VN,POW,x,8,E,MUL,VN,POW,x,7,E,MUL,VN,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VN,x,E,VN,E;VN.x^{8} + VN.x^{7} + VN.x^{6} + VF.x^{5} + VN.x + VN
99;SUM,MUL,VF,POW,x,3,E,MUL,VN,x,E,VF,E;VF.x^{3} + VN.x + VF
100;SUM,MUL,VN,x,E,E;VN.x
101;SUM,NEG,MUL,VN,POW,x,2,E,E;- VN.x^{2}
102;SUM,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{5}
103;SUM,NEG,MUL,VF,POW,x,9,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VN,x,E,E;- VF.x^{9} - VF.x^{8} - VN.x
104;SUM,NEG,MUL,VN,POW,x,9,E,MUL,VF,POW,x,8,E,NEG,VN,E;- VN.x^{9} + VF.x^{8} - VN
105;SUM,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,5,E,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,2,E,NEG,MUL,VN,x,E,NEG,VN,E;VN.x^{7} - VN.x^{6} - VN.x^{5} + VF.x^{4} - VN.x^{2} - VN.x - VN
106;SUM,MUL,VF,POW,x,14,E,NEG,MUL,VN,POW,x,13,E,MUL,VF,POW,x,11,E,NEG,MUL,VF,POW,x,10,E,MUL,VF,POW,x,9,E,NEG,MUL,VN,POW,x,7,E,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,VN,E;VF.x^{14} - VN.x^{13} + VF.x^{11} - VF.x^{10} + VF.x^{9} - VN.x^{7} + VN.x^{5} - VF.x^{4} - VN.x^{3} - VF.x^{2} + VN
107;SUM,NEG,MUL,VN,POW,x,3,E,E;- VN.x^{3}
108;SUM,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,8,E,E;- VN.x^{9} - VN.x^{8}
109;SUM,NEG,MUL,VN,POW,x,11,E,MUL,VF,POW,x,9,E,NEG,MUL,VN,POW,x,8,E,MUL,VN,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VN,x,E,VF,E;- VN.x^{11} + VF.x^{9} - VN.x^{8} + VN.x^{6} + VF.x^{5} + VF.x^{4} - VF.x^{3} - VF.x^{2} - VN.x + VF
110;SUM,MUL,VN,POW,x,4,E,NEG,MUL,VF,POW,x,2,E,E;VN.x^{4} - VF.x^{2}
111;SUM,NEG,MUL,VN,POW,x,7,E,E;- VN.x^{7}
112;SUM,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,MUL,VN,x,E,E;- VF.x^{3} - VF.x^{2} + VN.x
113;SUM,NEG,MUL,VN,POW,x,3,E,NEG,VN,E;- VN.x^{3} - VN
114;SUM,MUL,VN,POW,x,9,E,MUL,VN,POW,x,8,E,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,5,E,MUL,VN,POW,x,4,E,MUL,VN,POW,x,2,E,MUL,VF,x,E,NEG,VF,E;VN.x^{9} + VN.x^{8} + VF.x^{7} - VN.x^{6} - VN.x^{5} + VN.x^{4} + VN.x^{2} + VF.x - VF
115;SUM,MUL,VF,POW,x,13,E,NEG,MUL,VN,POW,x,10,E,NEG,MUL,VN,POW,x,9,E,MUL,VN,POW,x,8,E,MUL,VN,POW,x,7,E,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VN,POW,x,2,E,MUL,VN,x,E,NEG,VN,E;VF.x^{13} - VN.x^{10} - VN.x^{9} + VN.x^{8} + VN.x^{7} + VF.x^{6} - VF.x^{4} - VN.x^{3} - VN.x^{2} + VN.x - VN
116;SUM,NEG,MUL,VN,POW,x,5,E,MUL,VN,POW,x,4,E,MUL,VN,POW,x,2,E,MUL,VN,x,E,E;- VN.x^{5} + VN.x^{4} + VN.x^{2} + VN.x
