expr_id,labeled_text
302,Polinomio [B-EXTYPE] con [O] grado [B-ATRIB] 10 [B-ATVAL]
306,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL]
306,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] , [O] ordenado [B-EXCHAR]"
319,Polinomios [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 10 [B-ATVAL] con [O] coeficientes [B-ELEM] reales. [B-NSET] El [O] coeficiente [B-ELEM] principal [I-ELEM] es [O] 24 [B-ELVAL] y [O] el [O] término [B-ELEM] independiente [I-ELEM] es [O] 43.6 [B-ELVAL]
329,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL]
344,"Polinomio [B-EXTYPE] completo [B-EXCHAR] , [O] desordenado [B-EXCHAR] , [O] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] coeficientes [B-ELEM] positivos [B-ELCHAR] y [O] negativos [B-ELCHAR]"
352,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] 7 [B-ELCOUNT] términos [B-ELEM]
396,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] con [O] coeficiente [B-ELEM] principal [I-ELEM] 3 [B-ELVAL] y [O] terminó [B-ELEM] independiente [I-ELEM] 30.7 [B-ELVAL]
400,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL]
404,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL]
404,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] siete [B-ATVAL] , [O] completo [B-EXCHAR]"
405,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL]
405,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] , [O] completo [B-EXCHAR] , [O] con [O] coeficiente [B-ELEM] racional [B-NSET]"
412,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 2 [B-ATVAL]
412,Polinomio [B-EXTYPE] cuadratico [B-EXCHAR] completo [B-EXCHAR] en [O] orden [B-ATRIB] ascendente [B-ATVAL]
416,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] tercer [B-ATVAL] grado [B-ATRIB] con [O] algunos [O] coeficientes [B-ELEM] fraccionarios [B-NSET] y [O] otros [O] decimales [B-NSET]
416,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] completo [B-EXCHAR]
417,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 8 [B-ATVAL] completo [B-EXCHAR] y [O] en [O] orden [B-ATRIB] ascendente [B-ATVAL]
417,Polinomio [B-EXTYPE] de [O] números [B-ELEM] fraccionarios [B-NSET] completo [B-EXCHAR] y [O] de [O] grado [B-ATRIB] 8. [B-ATVAL] El [O] orden [B-ATRIB] de [O] las [O] potencias [O] es [O] ascendente [B-ATVAL]
428,"binomio [B-EXTYPE] completo [B-EXCHAR] , [O] coeficiente [B-ELEM] principal [I-ELEM] -6 [B-ELVAL] / [I-ELVAL] 9 [I-ELVAL] , [O] grado [B-ATRIB] 1 [B-ATVAL]"
472,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR] y [O] desordenado. [B-EXCHAR] Términos [B-ELEM] enteros [B-NSET] y [O] racionales. [B-NSET] Coeficiente [B-ELEM] principal [I-ELEM] -2 [B-ELVAL] , [O] término [B-ELEM] independiente [I-ELEM] -39. [B-ELVAL] Coeficientes [B-ELEM] negativos. [B-ELCHAR] Orden [O] de [O] exponentes [O] : [O] 3 [O] , [O] 2 [O] , [O] 4 [O] , [O] 0 [O] , [O] 1 [O]"
475,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] , [O] con [O] coeficientes [B-ELEM] racionales. [B-NSET] Coeficiente [B-ELEM] principal [I-ELEM] 9 [B-ELVAL] / [I-ELVAL] 7 [I-ELVAL] y [O] término [B-ELEM] independiente [I-ELEM] 43.1 [B-ELVAL]"
478,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] completo [B-EXCHAR] , [O] con [O] 7 [B-ELCOUNT] términos [B-ELEM] , [O] con [O] coeficiente [B-ELEM] principal [I-ELEM] ( [O] -31 [B-ELVAL] ) [O] , [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O] y [O] con [O] coeficientes [B-ELEM] enteros [B-NSET] y [O] fraccionarios [B-NSET]"
479,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL] completo [B-EXCHAR] , [O] con [O] 8 [B-ELCOUNT] términos [B-ELEM] , [O] con [O] coeficiente [B-ELEM] principal [I-ELEM] 3 [B-ELVAL] , [O] ordenado [B-EXCHAR] de [O] menor [O] grado [O] a [O] mayor [O] grado [O] y [O] con [O] una [O] mezcla [O] de [O] coeficientes [B-ELEM] enteros [B-NSET] y [O] fraccionarios [B-NSET]"
487,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] con [O] todos [O] los [O] coeficientes [B-ELEM] distintos [B-ELCHAR] de [I-ELCHAR] 0 [I-ELCHAR]
487,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL]
489,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL]
489,polinomio [B-EXTYPE] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 6 [B-ATVAL]
492,Un [O] polinomio [B-EXTYPE] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 8 [B-ATVAL]
492,poloniomio [B-EXTYPE] desordenado [B-EXCHAR]
494,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL]
494,"polinomio [B-EXTYPE] ordenado [B-EXCHAR] de [O] 10 [B-ELCOUNT] variables [B-ELEM] , [O] conformado [O] con [O] números [B-ELEM] racionales [B-NSET] y [O] reales [B-NSET]"
496,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL]
503,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] , [O] completo [B-EXCHAR]"
503,"Polinomio [B-EXTYPE] ordenado [B-EXCHAR] y [O] completo [B-EXCHAR] de [O] grado [B-ATRIB] 10 [B-ATVAL] , [O] con [O] variable [B-ELEM] x [B-VAR] y [O] coeficientes [B-ELEM] racionales [B-NSET] y [O] enteros [B-NSET]"
517,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 2 [B-ATVAL] completo [B-EXCHAR]
518,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 3. [B-ATVAL] Coeficiente [B-ELEM] principal [I-ELEM] -17 [B-ELVAL]
522,Polinomio [B-EXTYPE] grado [B-ATRIB] 5 [B-ATVAL]
524,Polinomio [B-EXTYPE] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR]
524,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 5 [B-ATVAL]
532,"Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 9 [B-ATVAL] , [O] ordenado [B-EXCHAR] de [O] mayor [O] potencia [O] a [O] menor [O] y [O] con [O] todos [O] sus [O] coeficientes [B-ELEM] positivos [B-ELCHAR]"
536,polinomio [B-EXTYPE] grado [B-ATRIB] 3 [B-ATVAL]
539,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] 5to [B-ATVAL] grado [B-ATRIB] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR] y [O] algunos [O] fraccionarios. [B-NSET] El [O] orden [B-ATRIB] de [O] las [O] potencias [O] es [O] ascendente [B-ATVAL]
545,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] , [O] entero [B-EXCHAR] con [O] coeficientes [B-ELEM] racional [B-NSET] algunos [O] negativos [B-ELCHAR]"
560,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 8 [B-ATVAL]
31,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] , [O] números [B-ELEM] complejos [B-NSET] con [O] parte [O] real [O] y [O] parte [O] imaginaria [O] , [O] 6 [B-ELCOUNT] términos [B-ELEM]"
64,Polinomio [B-EXTYPE] lineal [B-EXCHAR] con [O] coeficientes [B-ELEM] complejos [B-NSET] puros [B-ELCHAR] negativos. [B-ELCHAR] Está [O] completo [B-EXCHAR]
64,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 1 [B-ATVAL]
85,Polinomio [B-EXTYPE] complejo [B-NSET] completo [B-EXCHAR] de [O] grado [B-ATRIB] 2 [B-ATVAL]
85,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 2 [B-ATVAL] , [O] ordenado [B-EXCHAR] y [O] completo [B-EXCHAR] Coeficientes [B-ELEM] imaginarios [B-NSET]"
86,"Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] séptimo [B-ATVAL] grado [B-ATRIB] , [O] en [O] orden [B-ATRIB] descendiente [B-ATVAL] , [O] con [O] todos [O] sus [O] coeficientes [B-ELEM] complejos [B-NSET]"
91,Polinomio [B-EXTYPE] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 8 [B-ATVAL] con [O] todos [O] sus [O] coeficientes [B-ELEM] complejos [B-NSET] y [O] negativos [B-ELCHAR]
92,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] tercer [B-ATVAL] grado [B-ATRIB] con [O] números [B-ELEM] complejos [B-NSET]
92,"Polinomio [B-EXTYPE] de [O] tercer [B-ATVAL] grado [B-ATRIB] , [O] completo [B-EXCHAR] , [O] ordenado [B-EXCHAR] en [O] forma [O] ascendente [O] y [O] coeficientes [B-ELEM] complejos [B-NSET] con [O] solo [O] parte [O] imaginaria [O]"
121,Polinomio [B-EXTYPE] complejo [B-NSET] de [O] grado [B-ATRIB] 2 [B-ATVAL]
121,Polinomio [B-EXTYPE] completo [B-EXCHAR] y [O] en [O] orden [B-ATRIB] descendiente. [B-ATVAL] El [O] grado [B-ATRIB] es [O] 2 [B-ATVAL] y [O] los [O] coeficientes [B-ELEM] son [O] complejos [B-NSET] negativos [B-ELCHAR]
124,"Polinimio [B-EXTYPE] complejo [B-NSET] de [O] grado [B-ATRIB] 5 [B-ATVAL] , [O] ordenado [B-EXCHAR]"
127,Polinomio [B-EXTYPE] cuadratico [B-EXCHAR] completo [B-EXCHAR]
130,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL] completo [B-EXCHAR]
146,"Polinomio [B-EXTYPE] , [O] de [O] grado [B-ATRIB] 7 [B-ATVAL] , [O] compuesto [O] por [O] 8 [B-ELCOUNT] términos [B-ELEM] y [O] los [O] coeficientes [B-ELEM] son [O] números [O] complejos [B-NSET]"
162,Polinomio [B-EXTYPE] complejo [B-NSET] completo [B-EXCHAR] de [O] grado [B-ATRIB] 6 [B-ATVAL]
173,Ecuacion [B-EXTYPE] polinomica [I-EXTYPE] completa [B-EXCHAR] de [O] grado [B-ATRIB] 1. [B-ATVAL] Sus [O] coeficientes [B-ELEM] son [O] números [O] complejos [B-NSET]
173,Polinomio [B-EXTYPE] lineal [B-EXCHAR] de [O] coeficientes [B-ELEM] complejos [B-NSET] y [O] negativos. [B-ELCHAR] El [O] coeficiente [B-ELEM] principal [I-ELEM] es [O] -3i [B-ELVAL]
222,"Polinomio [B-EXTYPE] completo [B-EXCHAR] , [O] de [O] grado [B-ATRIB] 7 [B-ATVAL]"
222,"un [O] polinomio [B-EXTYPE] a [O] coeficientes [B-ELEM] complejos. [B-NSET] El [O] polinomio [B-EXTYPE] no [B-EXCHAR] está [I-EXCHAR] ordenado [I-EXCHAR] , [O] su [O] grado [B-ATRIB] es [O] 7 [B-ATVAL] , [O] ya [O] que [O] es [O] el [O] orden [O] más [O] grande [O] con [O] coeficiente [O] no [O] nulo [O] ( [O] coeficiente [B-ELEM] principal [I-ELEM] es [O] -9i [B-ELVAL] ) [O] y [O] el [O] término [B-ELEM] independiente [I-ELEM] es [O] -22i [B-ELVAL] . [O]"
225,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] coeficientes [B-ELEM] complejos [B-NSET] negativos [B-ELCHAR] con [O] parte [O] imaginaria. [O] El [O] grado [B-ATRIB] del [O] polinomio [B-EXTYPE] es [O] 4 [B-ATVAL]
229,"es [O] un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] y [O] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 5 [B-ATVAL] , [O] con [O] términos [B-ELEM] independiente [I-ELEM] 17i [B-ELVAL] y [O] coeficiente [B-ELEM] principal [I-ELEM] 8+5i [B-ELVAL]"
229,Polinomio [B-EXTYPE] complejo [B-NSET] y [O] completo [B-EXCHAR] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 5 [B-ATVAL]
264,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] seis [B-ATVAL] completo [B-EXCHAR] ordenado [B-EXCHAR] con [O] números [O] imaginarios [B-NSET] en [O] los [O] coeficientes [B-ELEM]
