expr_id,input,target,description,tree_expr,pseudolatex,latex_expr
87,"reconocer entidades nombradas: Polinomio completo en orden de potencias descendiente, de noveno grado con la mayoría de sus coeficientes fraccionarios","Polinomio [B-EXTYPE] completo [B-EXCHAR] en [O] orden [B-ATRIB] de [O] potencias [O] descendiente [B-ATVAL] , [O] de [O] noveno [B-ATVAL] grado [B-ATRIB] con [O] la [O] mayoría [O] de [O] sus [O] coeficientes [B-ELEM] fraccionarios [B-NSET]","Polinomio completo en orden de potencias descendiente, de noveno grado con la mayoría de sus coeficientes fraccionarios",SUM MUL VR POW x 9 E MUL VR POW x 8 E MUL VR POW x 7 E MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E MUL VR POW x 3 E MUL VR POW x 2 E MUL VR x E VR E,VRx^{9} + VRx^{8} + VRx^{7} + VRx^{6} + VRx^{5} + VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR,22x^{9} + 27x^{8} + 1.9x^{7} + \frac{8}{10}x^{6} + 5x^{5} + \frac{6}{10}x^{4} + \frac{7}{4}x^{3} + 15x^{2} + \frac{3}{2}x + \frac{6}{2}
98,reconocer entidades nombradas: Ecuación de grado 6 incompleta,Ecuación [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] incompleta [B-EXCHAR],Ecuación de grado 6 incompleta,SUM NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 5 E NEG MUL VR POW x 3 E NEG MUL VR POW x 6 E NEG VR E,- VRx^{2} - VRx^{4} - VRx - VRx^{5} - VRx^{3} - VRx^{6} - VR,- \frac{5}{5}x^{2} - \frac{8}{2}x^{4} - \frac{3}{10}x - \frac{4}{8}x^{5} - \frac{9}{5}x^{3} - 11x^{6} - \frac{10}{2}
98,"reconocer entidades nombradas: Polinomio desordenado, completo de grado 6 con todos sus coeficientes negativos y casi todos fraccionarios","Polinomio [B-EXTYPE] desordenado [B-EXCHAR] , [O] completo [B-EXCHAR] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] todos [O] sus [O] coeficientes [B-ELEM] negativos [B-ELCHAR] y [O] casi [O] todos [O] fraccionarios [B-NSET]","Polinomio desordenado, completo de grado 6 con todos sus coeficientes negativos y casi todos fraccionarios",SUM NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 5 E NEG MUL VR POW x 3 E NEG MUL VR POW x 6 E NEG VR E,- VRx^{2} - VRx^{4} - VRx - VRx^{5} - VRx^{3} - VRx^{6} - VR,- \frac{5}{5}x^{2} - \frac{8}{2}x^{4} - \frac{3}{10}x - \frac{4}{8}x^{5} - \frac{9}{5}x^{3} - 11x^{6} - \frac{10}{2}
108,reconocer entidades nombradas: Polinomio de grado 9 completo,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL] completo [B-EXCHAR],Polinomio de grado 9 completo,SUM NEG MUL VR POW x 9 E NEG MUL VR POW x 8 E NEG MUL VR POW x 7 E NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{9} - VRx^{8} - VRx^{7} - VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{6}{3}x^{9} - \frac{4}{4}x^{8} - \frac{10}{3}x^{7} - 20x^{6} - \frac{2}{1}x^{5} - 8x^{4} - \frac{7}{10}x^{3} - \frac{4}{9}x^{2} - \frac{4}{2}x - 26.8
115,reconocer entidades nombradas: Polinomio de grado 1 completo con coeficiente principal 3/3,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] 3 [B-ELVAL] / [I-ELVAL] 3 [I-ELVAL],Polinomio de grado 1 completo con coeficiente principal 3/3,SUM NEG VR NEG MUL FRAC 3 3 x E E,- VR - VRx,- 47 - \frac{3}{3}x
115,reconocer entidades nombradas: Polinomio de grado 1 completo con coeficientes negativos,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR],Polinomio de grado 1 completo con coeficientes negativos,SUM NEG VR NEG MUL VR x E E,- VR - VRx,- 47 - \frac{3}{3}x
115,reconocer entidades nombradas: Polinomio de grado 1 completo con coeficiente principal fraccionario,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] fraccionario [B-NSET],Polinomio de grado 1 completo con coeficiente principal fraccionario,SUM NEG VR NEG MUL VF x E E,- VR - VRx,- 47 - \frac{3}{3}x
115,reconocer entidades nombradas: Resta a una variable lineal,Resta [B-EXTYPE] a [O] una [O] variable [B-ELEM] lineal [B-ELCHAR],Resta a una variable lineal,SUM NEG VR NEG MUL VR x E E,- VR - VRx,- 47 - \frac{3}{3}x
143,reconocer entidades nombradas: Polinomio de grado 5 completo,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR],Polinomio de grado 5 completo,SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E E,- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5},- \frac{10}{10} - 4x - 9x^{2} - \frac{6}{8}x^{3} - 26.3x^{4} - 19x^{5}
143,reconocer entidades nombradas: Polinomio completo en orden ascendente de potencias. El grado es 5 y todos los coeficientes son negativos,Polinomio [B-EXTYPE] completo [B-EXCHAR] en [O] orden [B-ATRIB] ascendente [B-ATVAL] de [O] potencias. [O] El [O] grado [B-ATRIB] es [O] 5 [B-ATVAL] y [O] todos [O] los [O] coeficientes [B-ELEM] son [O] negativos [B-ELCHAR],Polinomio completo en orden ascendente de potencias. El grado es 5 y todos los coeficientes son negativos,SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E E,- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5},- \frac{10}{10} - 4x - 9x^{2} - \frac{6}{8}x^{3} - 26.3x^{4} - 19x^{5}
153,reconocer entidades nombradas: Polinomio de grado 4 completo con coeficientes racionales,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] racionales [B-NSET],Polinomio de grado 4 completo con coeficientes racionales,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E E,VR + VRx + VRx^{2} + VRx^{3} + VRx^{4},\frac{9}{8} + 49.7x + \frac{2}{5}x^{2} + \frac{1}{2}x^{3} + \frac{7}{5}x^{4}
153,reconocer entidades nombradas: polinomio de grado 4,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL],polinomio de grado 4,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E E,VR + VRx + VRx^{2} + VRx^{3} + VRx^{4},\frac{9}{8} + 49.7x + \frac{2}{5}x^{2} + \frac{1}{2}x^{3} + \frac{7}{5}x^{4}
161,reconocer entidades nombradas: Polinomio ordenado de forma descendiente de grado 9 con coeficientes negativos,Polinomio [B-EXTYPE] ordenado [B-EXCHAR] de [O] forma [O] descendiente [B-ATVAL] de [O] grado [B-ATRIB] 9 [B-ATVAL] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR],Polinomio ordenado de forma descendiente de grado 9 con coeficientes negativos,SUM NEG MUL VR POW x 9 E NEG MUL VR POW x 8 E NEG MUL VR POW x 7 E NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{9} - VRx^{8} - VRx^{7} - VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{4}{8}x^{9} - 26x^{8} - \frac{7}{10}x^{7} - \frac{6}{8}x^{6} - 11.2x^{5} - 46x^{4} - 32.4x^{3} - 19.5x^{2} - 1.8x - \frac{4}{4}
161,reconocer entidades nombradas: Polinomio de grado 9,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL],Polinomio de grado 9,SUM NEG MUL VR POW x 9 E NEG MUL VR POW x 8 E NEG MUL VR POW x 7 E NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{9} - VRx^{8} - VRx^{7} - VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{4}{8}x^{9} - 26x^{8} - \frac{7}{10}x^{7} - \frac{6}{8}x^{6} - 11.2x^{5} - 46x^{4} - 32.4x^{3} - 19.5x^{2} - 1.8x - \frac{4}{4}
165,reconocer entidades nombradas: Polinomio de grado 8 incompleto,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 8 [B-ATVAL] incompleto [B-EXCHAR],Polinomio de grado 8 incompleto,SUM NEG MUL VR POW x 8 E MUL VR POW x 7 E NEG MUL VR POW x 6 E MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E MUL VR POW x 2 E MUL VR x E VR E,- VRx^{8} + VRx^{7} - VRx^{6} + VRx^{5} - VRx^{4} - VRx^{3} + VRx^{2} + VRx + VR,- 48x^{8} + \frac{6}{2}x^{7} - \frac{5}{9}x^{6} + 28x^{5} - 32.6x^{4} - 4.9x^{3} + 9x^{2} + 31x + 47.6
170,reconocer entidades nombradas: Un polinomio completo y desordenado de grado 8 con coeficientes fraccionarios y decimales positivos,Un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] y [O] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 8 [B-ATVAL] con [O] coeficientes [B-ELEM] fraccionarios [B-NSET] y [O] decimales [B-NSET] positivos [B-ELCHAR],Un polinomio completo y desordenado de grado 8 con coeficientes fraccionarios y decimales positivos,SUM MUL VR POW x 3 E MUL VR POW x 2 E VR MUL VR POW x 6 E MUL VR POW x 4 E MUL VR x E MUL VR POW x 7 E MUL VR POW x 5 E MUL VR POW x 8 E E,VRx^{3} + VRx^{2} + VR + VRx^{6} + VRx^{4} + VRx + VRx^{7} + VRx^{5} + VRx^{8},\frac{4}{7}x^{3} + \frac{8}{4}x^{2} + 26.8 + 38.7x^{6} + \frac{9}{1}x^{4} + \frac{10}{9}x + \frac{8}{3}x^{7} + \frac{1}{4}x^{5} + 25.0x^{8}
170,"reconocer entidades nombradas: polinomio de orden 8, no está ordenada y sus coeficientes son fracciones y números enteros","polinomio [B-EXTYPE] de [O] orden [B-ATRIB] 8 [B-ATVAL] , [O] no [B-EXCHAR] está [I-EXCHAR] ordenada [I-EXCHAR] y [O] sus [O] coeficientes [B-ELEM] son [O] fracciones [B-NSET] y [O] números [O] enteros [B-NSET]","polinomio de orden 8, no está ordenada y sus coeficientes son fracciones y números enteros",SUM MUL VR POW x 3 E MUL VR POW x 2 E VR MUL VR POW x 6 E MUL VR POW x 4 E MUL VR x E MUL VR POW x 7 E MUL VR POW x 5 E MUL VR POW x 8 E E,VRx^{3} + VRx^{2} + VR + VRx^{6} + VRx^{4} + VRx + VRx^{7} + VRx^{5} + VRx^{8},\frac{4}{7}x^{3} + \frac{8}{4}x^{2} + 26.8 + 38.7x^{6} + \frac{9}{1}x^{4} + \frac{10}{9}x + \frac{8}{3}x^{7} + \frac{1}{4}x^{5} + 25.0x^{8}
174,"reconocer entidades nombradas: un polinomio completo de orden 5, con todos sus coeficientes negativos. Esta desordenada con respectos a las potencias","un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] orden [B-ATRIB] 5 [B-ATVAL] , [O] con [O] todos [O] sus [O] coeficientes [B-ELEM] negativos. [B-ELCHAR] Esta [O] desordenada [B-EXCHAR] con [O] respectos [O] a [O] las [O] potencias [O]","un polinomio completo de orden 5, con todos sus coeficientes negativos. Esta desordenada con respectos a las potencias",SUM NEG MUL VR POW x 5 E NEG MUL VR POW x 2 E NEG VR NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 3 E E,- VRx^{5} - VRx^{2} - VR - VRx^{4} - VRx - VRx^{3},- 18x^{5} - 15.6x^{2} - 14.3 - 22x^{4} - \frac{7}{8}x - \frac{1}{10}x^{3}
174,reconocer entidades nombradas: Polinomio completo de quinto grado con todos los números negativos. Es desordenado y tiene coeficiente principal -18,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] todos [O] los [O] números [B-ELEM] negativos. [B-ELCHAR] Es [O] desordenado [B-EXCHAR] y [O] tiene [O] coeficiente [B-ELEM] principal [I-ELEM] -18 [B-ELVAL],Polinomio completo de quinto grado con todos los números negativos. Es desordenado y tiene coeficiente principal -18,SUM NEG MUL 18 POW x 5 E NEG MUL VR POW x 2 E NEG VR NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 3 E E,- VRx^{5} - VRx^{2} - VR - VRx^{4} - VRx - VRx^{3},- 18x^{5} - 15.6x^{2} - 14.3 - 22x^{4} - \frac{7}{8}x - \frac{1}{10}x^{3}
179,reconocer entidades nombradas: Polinomio de grado 4 completo,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR],Polinomio de grado 4 completo,SUM NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- 25.4x^{4} - 35x^{3} - \frac{6}{2}x^{2} - \frac{9}{2}x - 15
179,reconocer entidades nombradas: polinomio de grado 4 completo con coeficiente negativo de 25.4,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] negativo [B-ELCHAR] de [O] 25.4 [B-ELVAL],polinomio de grado 4 completo con coeficiente negativo de 25.4,SUM NEG MUL 25.4 POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- 25.4x^{4} - 35x^{3} - \frac{6}{2}x^{2} - \frac{9}{2}x - 15
186,"reconocer entidades nombradas: Un polinomio completo de grado 9 sin orden. Los coeficientes son todo positivos, de tipo fraccionarios, enteros y decimales","Un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 9 [B-ATVAL] sin [B-EXCHAR] orden. [I-EXCHAR] Los [O] coeficientes [B-ELEM] son [O] todo [O] positivos [B-ELCHAR] , [O] de [O] tipo [O] fraccionarios [B-NSET] , [O] enteros [B-NSET] y [O] decimales [B-NSET]","Un polinomio completo de grado 9 sin orden. Los coeficientes son todo positivos, de tipo fraccionarios, enteros y decimales",SUM MUL VR POW x 4 E MUL VR x E MUL VR POW x 6 E MUL VR POW x 7 E MUL VR POW x 5 E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 8 E MUL VR POW x 9 E VR E,VRx^{4} + VRx + VRx^{6} + VRx^{7} + VRx^{5} + VRx^{2} + VRx^{3} + VRx^{8} + VRx^{9} + VR,\frac{8}{9}x^{4} + 34x + 28.7x^{6} + \frac{9}{9}x^{7} + 27.7x^{5} + 27x^{2} + \frac{10}{10}x^{3} + 19.3x^{8} + \frac{7}{10}x^{9} + 45.7
190,reconocer entidades nombradas: Polinomio completo de tercer grado,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] tercer [B-ATVAL] grado [B-ATRIB],Polinomio completo de tercer grado,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E E,VR + VRx + VRx^{2} + VRx^{3},23 + \frac{6}{7}x + 25.7x^{2} + 35.4x^{3}
190,"reconocer entidades nombradas: Polinomio cúbico completo con coeficientes decimales, fraccionarios y enteros. El término independiente es 23 y el coeficiente del término principal es decimal. El polinimio está ordenado de forma creciente","Polinomio [B-EXTYPE] cúbico [B-EXCHAR] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] decimales [B-NSET] , [O] fraccionarios [B-NSET] y [O] enteros. [B-NSET] El [O] término [B-ELEM] independiente [I-ELEM] es [O] 23 [B-ELVAL] y [O] el [O] coeficiente [B-ELEM] del [I-ELEM] término [I-ELEM] principal [I-ELEM] es [O] decimal. [B-NSET] El [O] polinimio [B-EXTYPE] está [O] ordenado [B-EXCHAR] de [O] forma [O] creciente [O]","Polinomio cúbico completo con coeficientes decimales, fraccionarios y enteros. El término independiente es 23 y el coeficiente del término principal es decimal. El polinimio está ordenado de forma creciente",SUM 23 MUL VR x E MUL VR POW x 2 E MUL VD POW x 3 E E,VR + VRx + VRx^{2} + VRx^{3},23 + \frac{6}{7}x + 25.7x^{2} + 35.4x^{3}
192,reconocer entidades nombradas: Binomio lineal completo. El coeficiente del término principal es fraccionario negativo,Binomio [B-EXTYPE] lineal [B-EXCHAR] completo. [B-EXCHAR] El [O] coeficiente [B-ELEM] del [I-ELEM] término [I-ELEM] principal [I-ELEM] es [O] fraccionario [B-NSET] negativo [B-ELCHAR],Binomio lineal completo. El coeficiente del término principal es fraccionario negativo,SUM NEG MUL VF x E VR E,- VRx + VR,- \frac{5}{6}x + 27.4
192,"reconocer entidades nombradas: Polinomio lineal, completo con 2 términos","Polinomio [B-EXTYPE] lineal [B-EXCHAR] , [O] completo [B-EXCHAR] con [O] 2 [B-ELCOUNT] términos [B-ELEM]","Polinomio lineal, completo con 2 términos",SUM NEG MUL VR x E VR E,- VRx + VR,- \frac{5}{6}x + 27.4
196,reconocer entidades nombradas: Polinomio cuadrático completo y desordenado,Polinomio [B-EXTYPE] cuadrático [B-EXCHAR] completo [B-EXCHAR] y [O] desordenado [B-EXCHAR],Polinomio cuadrático completo y desordenado,SUM MUL VR x E MUL VR POW x 2 E NEG VR E,VRx + VRx^{2} - VR,36.0x + \frac{2}{2}x^{2} - \frac{5}{6}
196,reconocer entidades nombradas: Polinomio de segundo grado,Polinomio [B-EXTYPE] de [O] segundo [B-ATVAL] grado [B-ATRIB],Polinomio de segundo grado,SUM MUL VR x E MUL VR POW x 2 E NEG VR E,VRx + VRx^{2} - VR,36.0x + \frac{2}{2}x^{2} - \frac{5}{6}
199,reconocer entidades nombradas: Polinomio de grado nueve con números negativos,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] nueve [B-ATVAL] con [O] números [B-ELEM] negativos [B-ELCHAR],Polinomio de grado nueve con números negativos,SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E NEG MUL VR POW x 6 E NEG MUL VR POW x 7 E NEG MUL VR POW x 8 E NEG MUL VR POW x 9 E E,- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5} - VRx^{6} - VRx^{7} - VRx^{8} - VRx^{9},- 27.9 - \frac{6}{4}x - \frac{10}{10}x^{2} - \frac{6}{10}x^{3} - 3.1x^{4} - 11.0x^{5} - 16x^{6} - 39x^{7} - 7x^{8} - \frac{9}{10}x^{9}
199,reconocer entidades nombradas: Polinomio de noveno grado completo y ordenado de menor a mayor,Polinomio [B-EXTYPE] de [O] noveno [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O],Polinomio de noveno grado completo y ordenado de menor a mayor,SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E NEG MUL VR POW x 6 E NEG MUL VR POW x 7 E NEG MUL VR POW x 8 E NEG MUL VR POW x 9 E E,- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5} - VRx^{6} - VRx^{7} - VRx^{8} - VRx^{9},- 27.9 - \frac{6}{4}x - \frac{10}{10}x^{2} - \frac{6}{10}x^{3} - 3.1x^{4} - 11.0x^{5} - 16x^{6} - 39x^{7} - 7x^{8} - \frac{9}{10}x^{9}
212,reconocer entidades nombradas: Un polinomio de grado 5 completo y en orden. El coeficiente principal debe ser 3/2,Un [O] polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR] y [O] en [B-EXCHAR] orden. [I-EXCHAR] El [O] coeficiente [B-ELEM] principal [I-ELEM] debe [O] ser [O] 3 [B-ELVAL] / [I-ELVAL] 2 [I-ELVAL],Un polinomio de grado 5 completo y en orden. El coeficiente principal debe ser 3/2,SUM MUL FRAC 3 2 POW x 5 E MUL VR POW x 4 E MUL VR POW x 3 E MUL VR POW x 2 E MUL VR x E VR E,VRx^{5} + VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR,\frac{3}{2}x^{5} + 18x^{4} + 31x^{3} + \frac{4}{6}x^{2} + 26.5x + \frac{2}{3}
